DOI,Title,Creators
10.5281/zenodo.3900120,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.7422629,Post-hypnotic suggestion improves confidence and speed of memory access with long-lasting effects,Barbara Schmidt; Justin Böhmer; Martin Schnürch; Sebastian Michelmann; Tobias Koch
10.5281/zenodo.1320006,Rdf2Vec Dbpedia Inverse Predicate Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320153,Kglove Dbpedia Predicate Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320004,Rdf2Vec Dbpedia Inverse Page Rank Split Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.6854190,Post-hypnotic suggestions of easy remembering increase subjective confidence of recognition with long-lasting effects,Barbara Schmidt; Justin Böhmer; Sebastian Michelmann; Martin Schnürch; Tobias Koch
10.5281/zenodo.7506459,Replication package for: How the Other Half Died: Immigration and Mortality in US Cities,Philipp Ager; James Feigenbaum; Casper Worm Hansen; Hui Ren Tan; Danielle T. Williamson
10.5281/zenodo.5518207,"Replication package for: Killer Incentives: Rivalry, Performance and Risk-Taking among German Fighter Pilots, 1939-45",Philipp Ager; Leonardo Bursztyn; Lukas Leucht; Hans‐Joachim Voth
10.5281/zenodo.1320031,Kglove Dbpedia Inverse Page Rank Split Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320151,Kglove Dbpedia Inverse Predicate Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.3624924,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.1320012,Rdf2Vec Dbpedia Inverse Predicate Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320166,Kglove Dbpedia Page Rank Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.4333692,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.8068322,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.1320169,KGloVe DBpedia Page Rank split frequency embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.3627953,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.6509714,DLCC Gold Standard,Jan Portisch; Heiko Paulheim
10.5281/zenodo.8422036,SOTAB V2 for SemTab 2023,Keti Korini; Ralph Peeters; Christian Bizer
10.5281/zenodo.1320150,Kglove Dbpedia Predicate Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.7908392,NeMig - A Bilingual News Collection and Knowledge Graph about Migration,Andreea Iana; Mehwish Alam; Alexander Grote; Nevena Nikolajevic; Katharina Ludwig; Philipp Müller; Christof Weinhardt; Heiko Paulheim
10.5281/zenodo.4889065,"Dataset for Manually Coded Firm Founding Dates, CEO Duality, and CEO Photograph Prominence in Annual Reports",Moritz Appels; Marc Kowalzick
10.5281/zenodo.1320809,Rdf2Vec Dbpedia Inverse Page Rank Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.5598010,Overview of preregistrations in the management and marketing fields,Oliver Eriksson
10.5281/zenodo.7777506,"Dataset for Manually Coded Firm Founding Dates, CEO Duality, and CEO Photograph Prominence in Annual Reports",Moritz Appels; Marc Kowalzick
10.5281/zenodo.3992547,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.4584778,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.1117227,RUSSE'2018: Human-Annotated Sense-Disambiguated Word Contexts for Russian,Dmitry Ustalov
10.5281/zenodo.7341310,Interactive Widget – Acceptance of autonomous vehicles dataset exploration,Celina Kacperski; Tobias Vogel; Florian Kutzner
10.5281/zenodo.5524052,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
